Archer-1	Archer	Class	Charge +1	Attack that increases the damage a weapon does through charging.	100
Archer-2	Archer	Class	Charge +2	Attack that increases the damage a weapon does through charging.	150
Archer-3	Archer	Class	Charge +3	Attack that increases the damage a weapon does through charging.	200
Archer-4	Archer	Class	Charge +4	Attack that increases the damage a weapon does through charging.	250
Archer-5	Archer	Class	Charge +5	Attack that increases the damage a weapon does through charging.	300
Archer-6	Archer	Class	Charge +7	Attack that increases the damage a weapon does through charging.	400
Archer-7	Archer	Class	Charge +10	Attack that increases the damage a weapon does through charging.	600
Archer-8	Archer	Class	Charge +20	Attack that increases the damage a weapon does through charging.	1000
Archer-9	Archer	Movement	Jump +1	Increases a character's jump elevation by one panel.	200
Archer-10	Archer	Reaction	Speed Save	When a character takes HP damage, it raises his or her Speed by 1.	800
Archer-11	Archer	Reaction	Arrow Guard	Increases the character's chances of evading a Bow/Crossbow attack.	450
Archer-12	Archer	Support	Equip Crossbow	Allows the character to equip a Crossbow, regardless of job.	350
Archer-13	Archer	Support	Concentrate	Makes the enemy unable to evade the character's attacks. If the enemy is within a targeted panel, the attack is sure to succeed.	400
Bard-1	Bard	Class	Angel Song	Restores MP to all allied units on the field.	100
Bard-2	Bard	Class	Life Song	Restores a small amount of HP to all allied units on the field.	100
Bard-3	Bard	Class	Cheer Song	Raises the Speed level of all allied units.	100
Bard-4	Bard	Class	Battle Song	Raises the physical attack power of all allied units.	100
Bard-5	Bard	Class	Magic Song	Raises the magic attack power of all allied units.	100
Bard-6	Bard	Class	Nameless Song	Song causes various positive status effects. Adds: Reraise, Regen, Protect, Shell, Haste	100
Bard-7	Bard	Class	Last Song	Raises ally's CT count to 100.	100
Bard-8	Bard	Movement	Fly	Character can leap over enemies and obstacles while moving.	1200
Bard-9	Bard	Movement	Move +3	Increases character's movement range by three panels.	1000
Bard-10	Bard	Reaction	MA Save	Raises a character's magic attack power when he or she takes HP damage.	450
Bard-11	Bard	Reaction	Faith Up	Raises a character's Faith level when he/she's hit with a magical spell.	500
Calculator-1	Calculator	Class	CT	Calculate CT.	250
Calculator-2	Calculator	Class	Level	Calculate level.	350
Calculator-3	Calculator	Class	Exp	Calculate Exp.	200
Calculator-4	Calculator	Class	Height	Calculate height.	250
Calculator-5	Calculator	Class	Prime Number	Calculate prime numbers.	300
Calculator-6	Calculator	Class	5	Calculate multiples of 5.	200
Calculator-7	Calculator	Class	4	Calculate multiples of 4.	400
Calculator-8	Calculator	Class	3	Calculate multiples of 3.	600
Calculator-9	Calculator	Movement	Move-Get Experience	Character gains Experience Points as he or she moves around.	400
Calculator-10	Calculator	Movement	Move-Get JP	Character gains a small amount of JP as he or she moves around.	400
Calculator-11	Calculator	Reaction	Distribute	When the character's HP are maxed, he or she shares any excess HP with his or her allies.	200
Calculator-12	Calculator	Reaction	Damage Split	Character heals themselves for half of all damage recieved and returns the other half to the attacker as damage.	300
Calculator-13	Calculator	Support	Gained Exp Up	Increases the Experience Points a character earns by 1.5.	350
Chemist-1	Chemist	Class	Potion	Recovers 30 HP. Causes damage to the undead.	30
Chemist-2	Chemist	Class	Hi-Potion	Recovers 70 HP. Causes damage to the undead.	200
Chemist-3	Chemist	Class	X-Potion	The strongest potion, recovering 150 HP. Causes damage to the undead.	300
Chemist-4	Chemist	Class	Ether	Recovers 20 MP.	300
Chemist-5	Chemist	Class	Hi-Ether	Recovers 50 MP.	400
Chemist-6	Chemist	Class	Elixir	Restores all HP and MP. Elixirs cannot be found in stores and must be found on the battlefield.	900
Chemist-7	Chemist	Class	Antidote	Neutralizes all poisons. Cancels: Poison	70
Chemist-8	Chemist	Class	Eye Drop	Restores sight. Cancels: Darkness	80
Chemist-9	Chemist	Class	Echo Grass	Restores speech, allowing the character to cast spells again. Cancels: Silence	120
Chemist-10	Chemist	Class	Maiden's Kiss	Changes the character back to his/her original shape. Cancels: Frog	200
Chemist-11	Chemist	Class	Soft	A golden needle which cures petrificaction. Cancels: Petrify	250
Chemist-12	Chemist	Class	Holy Water	Restores life to the undead. Cancels: Undead, Blood Suck	400
Chemist-13	Chemist	Class	Remedy	This all-purpose medicine cures most status anomalies. Cancels: Petrify, Darkness, Confusion, Silence, Oil, Frog, Poison, Sleep	700
Chemist-14	Chemist	Class	Phoenix Down	This tailfeather revives dead units. Cancels: Dead	90
Chemist-15	Chemist	Movement	Move-Find Item	Allows the character to find any hidden items on the destination panel.	100
Chemist-16	Chemist	Reaction	Auto Potion	When a character receives any form of HP damage, he or she uses the lowest-level potion available.	400
Chemist-17	Chemist	Support	Throw Item	Makes a character able to throw items over an extended range, even if he or she's not a Chemist.	350
Chemist-18	Chemist	Support	Maintenance	Makes equipped items immune to break techniques.	250
Chemist-19	Chemist	Support	Equip Change	Allows the character to change equipment in battle. Activated by selecting the action command Equip Change.	0
Dancer-1	Dancer	Class	Witch Hunt	Causes MP damage to all enemy units on the battlefield.	100
Dancer-2	Dancer	Class	Wiznaibus	Causes HP damage to all enemy units on the battlefield.	100
Dancer-3	Dancer	Class	Slow Dance	Lowers enemy's Speed level.	100
Dancer-4	Dancer	Class	Polka Polka	Lowers enemy's physical attack power.	100
Dancer-5	Dancer	Class	Disillusion	Lowers enemy's magic attack power.	100
Dancer-6	Dancer	Class	Nameless Dance	Dance causes various abnormal statuses to all enemy units no the battlefield. Adds: Darkness, Confusion, Silence, Frog, Poison, Slow, Stop, Sleep	100
Dancer-7	Dancer	Class	Last Dance	Lowers enemy's CT count to zero.	100
Dancer-8	Dancer	Movement	Jump +3	Increases character's jump elevation by three panels.	1000
Dancer-9	Dancer	Movement	Fly	Character can leap over enemies and obstacles while moving.	1200
Dancer-10	Dancer	Reaction	A Save	Rasies the character's physical attack power when attacked by the enemy.	550
Dancer-11	Dancer	Reaction	Brave Up	This raises the character's Brave level when attacked by the enemy.	500
Meliadoul-1	Meliadoul	Class	Shellbust Stab	Does HP damage and destroys target's armor.	200
Meliadoul-2	Meliadoul	Class	Blaster Punch	Does HP damage and destroys target's helmet.	400
Meliadoul-3	Meliadoul	Class	Hellcry Punch	Does HP damage and destroys target's weapon.	500
Meliadoul-4	Meliadoul	Class	Icewolf Bite	Does HP damage and destroys target's accessory.	800
Reis-1	Reis	Class	Ice Bracelet	Attack with arctic breath.	0
Reis-2	Reis	Class	Fire Bracelet	Attack with fire breath.	0
Reis-3	Reis	Class	Thunder Bracelet	Attack with lightning breath.	0
Reis-4	Reis	Class	Dragon Tame	Charms enemy Dragon into joining party. Adds: Invitation	300
Reis-5	Reis	Class	Dragon Care	Restores ally Dragon's HP and Status by offering own HP. Cancels: Darkness, Confusion, Silence, Oil, Berserk, Frog, Stop, Sleep, Don't Move, Don't Act	300
Reis-6	Reis	Class	Dragon PowerUp	Raises ally Dragon's Brave, Speed, physical and magic attack power.	400
Reis-7	Reis	Class	Dragon LevelUp	Raises ally Dragon's CT, allowing its attack to occur sooner.	400
Reis-8	Reis	Class	Holy Bracelet	Holy breath randomly attacks targets within effect range.	900
Mustadio-1	Mustadio	Class	Leg Aim	Prevents target from moving. Adds: Don't Move	200
Mustadio-2	Mustadio	Class	Arm Aim	Prevents target from attacking. Adds: Don't Act	300
Mustadio-3	Mustadio	Class	Seal Evil	Turns undead targets into stone. Adds: Petrify	200
Geomancer-1	Geomancer	Class	Pitfall	Effective on Natural Surface, Wasteland, Road. Adds: Don't Move	150
Geomancer-2	Geomancer	Class	Water Ball	Water Elemental attack effective on Waterway, River, Lake, Sea, Waterfall. Adds: Frog	150
Geomancer-3	Geomancer	Class	Hell Ivy	Effective on Grassland, Thicket, Water Plant, Ivy. Adds: Stop	150
Geomancer-4	Geomancer	Class	Carve Model	Effective on Gravel, Stone Floor, Stone Wall, Mud Wall, Tombstone. Adds: Petrify	150
Geomancer-5	Geomancer	Class	Local Quake	Earth Elemental attack effective on Rocky Cliff, Lava Rocks. Adds: Confusion	150
Geomancer-6	Geomancer	Class	Kamaitachi	Wind Elemental attack effective on Book, Tree, Brick, Bridge, Furniture, Iron Plate, Moss, Coffin. Adds: Don't Act	150
Geomancer-7	Geomancer	Class	Demon Fire	Fire Elemental attack effective on Wooden Floor, Rug, Box, Stairs, Deck. Adds: Sleep	150
Geomancer-8	Geomancer	Class	Quicksand	Water Elemental attack effective on Swamp, Marsh, Poisoned Marsh. Adds: Darkness	150
Geomancer-9	Geomancer	Class	Sand Storm	Wind Elemental attack effective on Sand Area, Stalactite, Salt. Adds: Darkness	150
Geomancer-10	Geomancer	Class	Blizzard	Ice Elemental attack effective on Snow, Ice. Adds: Silence	150
Geomancer-11	Geomancer	Class	Gusty Wind	Wind Elemental attack effective on Roof, Sky, Chimney. Adds: Slow	150
Geomancer-12	Geomancer	Class	Lava Ball	Fire Elemental attack effective on Lava, Machinery. Adds: Dead	150
Geomancer-13	Geomancer	Movement	Any Ground	Character can walk easily over watery terrain such as rivers.	220
Geomancer-14	Geomancer	Movement	Move on Lava	Allows the character to move and walk over volcanic terrain.	150
Geomancer-15	Geomancer	Reaction	Counter Flood	Character counters a physical attack by invoking the appropriate geomancy effect.	300
Geomancer-16	Geomancer	Support	Attack Up	Increases damage a character's physical attacks cause.	400
Malak-1	Malak	Class	Heaven Bolt Back	Lightning magic randomly attacks targets within effect range.	0
Malak-2	Malak	Class	Asura Back	Fire magic randomly attacks targets within effect range.	200
Malak-3	Malak	Class	Diamond Sword Back	Wind Magic randomly attacks targets within effect range.	300
Malak-4	Malak	Class	Dragon Pit Back	Water magic randomly attacks targets within effect range.	400
Malak-5	Malak	Class	Space Storage Back	Magic randomly attacks targets within effect range causing various abnormal statuses. Adds: Darkness, Confusion, Silence, Frog, Poison, Slow, Sleep	500
Malak-6	Malak	Class	Sky Demon Back	Earth magic randomly attacks targets within effect range.	600
Rafa-1	Rafa	Class	Heaven Bolt	Lightning magic randomly attacks targets within effect range.	0
Rafa-2	Rafa	Class	Asura	Fire magic randomly attacks targets within effect range.	200
Rafa-3	Rafa	Class	Diamond Sword	Wind Magic randomly attacks targets within effect range.	300
Rafa-4	Rafa	Class	Dragon Pit	Water magic randomly attacks targets within effect range.	400
Rafa-5	Rafa	Class	Space Storage	Magic randomly attacks targets within effect range causing various abnormal statuses. Adds: Darkness, Confusion, Silence, Frog, Poison, Slow, Sleep	500
Rafa-6	Rafa	Class	Sky Demon	Earth magic randomly attacks targets within effect range.	600
Agrias-1	Agrias	Class	Stasis Sword	Basic Holy Elemental Sword attack. Adds: Stop	100
Agrias-2	Agrias	Class	Split Punch	Holy Elemental Sword attack. Adds: Death Sentence	400
Agrias-3	Agrias	Class	Crush Punch	Holy Elemental Sword attack. Adds: Dead	500
Agrias-4	Agrias	Class	Lightning Stab	Powerful Lightning Elemental Sword attack. Adds: Silence	700
Agrias-5	Agrias	Class	Holy Explosion	Powerful Holy Elemental Sword attack with a long effect radius. Adds: Confusion	800
Orlandu-1	Orlandu	Class	Stasis Sword	Basic Holy Elemental attack. Adds: Stop	100
Orlandu-2	Orlandu	Class	Split Punch	Holy Elemental Sword attack. Adds: Death Sentence	400
Orlandu-3	Orlandu	Class	Crush Punch	Holy Elemental Sword attack. Adds: Dead	500
Orlandu-4	Orlandu	Class	Lightning Stab	Powerful Lightning Elemental Sword attack. Adds: Silence	700
Orlandu-5	Orlandu	Class	Holy Explosion	Powerful Holy Elemental Sword attack with a long effect radius. Adds: Conclusion	800
Orlandu-6	Orlandu	Class	Shellbust Stab	Does HP damage and destroys target's armor.	200
Orlandu-7	Orlandu	Class	Blaster Punch	Does HP damage and destroys target's helmet.	400
Orlandu-8	Orlandu	Class	Hellcry Punch	Does HP damage and destroys target's weapon.	500
Orlandu-9	Orlandu	Class	Icewolf Bite	Does HP damage and destroys target's accessory.	800
Orlandu-10	Orlandu	Class	Dark Sword	Darkness Elemental Sword spell that absorbs target's MP.	500
Orlandu-11	Orlandu	Class	Night Sword	Darkness Elemental Sword spell that absorbs target's HP.	100
Knight-1	Knight	Class	Head Break	Destroys target's equipped hat or helmet, decreasing protection and HP.	300
Knight-2	Knight	Class	Armor Break	Destroys target's equipped armor, clothes, or robe, decreasing his/her protection and HP.	400
Knight-3	Knight	Class	Shield Break	Destroys target's equipped shield.	300
Knight-4	Knight	Class	Weapon Break	Destroys target's equipped weapon, reducing his/her attack power greatly.	400
Knight-5	Knight	Class	Magic Break	Reduces target's MP by half.	250
Knight-6	Knight	Class	Speed Break	Diminishes target's Speed level, two points at a time.	250
Knight-7	Knight	Class	Power Break	Reduces target's physical attack power, two points at a time.	250
Knight-8	Knight	Class	Mind Break	Reduces target's magic attack power, two points at a time.	250
Knight-9	Knight	Reaction	Weapon Guard	Allows character to evade an attack with an equipped weapon (not always successful).	200
Knight-10	Knight	Support	Equip Armor	Allows the character to equip heavy armor, regardless of Job Class.	500
Knight-11	Knight	Support	Equip Shield	Allows the character to equip a shield, regardless of Job Class.	250
Knight-12	Knight	Support	Equip Sword	Allows the character to equip a sword, regardless of Job Class.	400
Lancer-1	Lancer	Class	Horizontal Jump 2	Allows the character to jump two panels horizontally.	150
Lancer-2	Lancer	Class	Horizontal Jump 3	Allows the character to jump three panels horizontally.	300
Lancer-3	Lancer	Class	Horizontal Jump 4	Allows the character to jump four panels horizontally.	450
Lancer-4	Lancer	Class	Horizontal Jump 5	Allows the character to jump five panels horizontally.	600
Lancer-5	Lancer	Class	Horizontal Jump 8	Allows the character to jump eight panels horizontally.	900
Lancer-6	Lancer	Class	Vertical Jump 2	Allows the character to jump two panels vertically.	100
Lancer-7	Lancer	Class	Vertical Jump 3	Allows the character to jump three panels vertically.	200
Lancer-8	Lancer	Class	Vertical Jump 4	Allows the character to jump four panels vertically.	300
Lancer-9	Lancer	Class	Vertical Jump 5	Allows the character to jump five panels vertically	400
Lancer-10	Lancer	Class	Vertical Jump 6	Allows the character to jump six panels vertically.	500
Lancer-11	Lancer	Class	Vertical Jump 7	Allows the character to jump seven panels vertically.	600
Lancer-12	Lancer	Class	Vertical Jump 8	Allows the character to jump eight panels vertically.	900
Lancer-13	Lancer	Movement	Ignore Height	Allows the character to jump to any height, regardless of jumping ability.	150
Lancer-14	Lancer	Reaction	Dragon Spirit	When a character receives HP damage, that character casts the Reraise status.	560
Lancer-15	Lancer	Support	Equip Spear	Allows the character to equip a spear regardless of job.	400
Mediator-1	Mediator	Class	Invitation	Turns an enemy into an ally. Adds: Invitation	100
Mediator-2	Mediator	Class	Persuade	Resets an enemy's CT count.	100
Mediator-3	Mediator	Class	Praise	Raises target's Brave level by 4 points.	200
Mediator-4	Mediator	Class	Threaten	Lowers target's Brave level by 20 points.	200
Mediator-5	Mediator	Class	Preach	Raises target's Faith level by 4 points.	200
Mediator-6	Mediator	Class	Solution	Lowers target's Faith level by 20 points.	200
Mediator-7	Mediator	Class	Death Sentence	Sentences target to death. Adds: Death Sentence	500
Mediator-8	Mediator	Class	Negotiate	Receive Gil from enemy as tribute.	100
Mediator-9	Mediator	Class	Insult	Character emerges enemy target, causing it to attack wildly, lowering its success rate. Adds: Berserk	300
Mediator-10	Mediator	Class	Mimic Daravon	Droning on like Professor Daravon puts the target to sleep. Adds: Sleep	300
Mediator-11	Mediator	Reaction	Finger Guard	Character plugs his or her ears to dodge Talk Skill (word based) attacks.	300
Mediator-12	Mediator	Support	Equip Gun	Allows the character to equip a gun regardless of Job Class.	750
Mediator-13	Mediator	Support	Train	When an enemy reaches terminal status, the character can persuade it to become an ally.	450
Mediator-14	Mediator	Support	Monster Talk	Allows a character to speak with monsters, even if he or she's not a Mediator.	100
Mediator-15	Monk	Class	Spin Fist	Character attacks surrounding enemies with his/her fists as he/she spins around.	150
Monk-1	Monk	Class	Repeating Fist	Character punches the target repeatedly with his/her fist.	300
Monk-2	Monk	Class	Wave Fist	Character can attack an enemy from afar with a surge of energy.	300
Monk-3	Monk	Class	Earth Slash	A line of energy flowing through the ground causes damage to enemies standing in its path.	600
Monk-4	Monk	Class	Secret Fist	Casts a Death Sentence on the enemy after attack. Do not use against undead enemies. Adds: Death Sentence	300
Monk-5	Monk	Class	Stigma Magic	Use the spirit of Yang to nullify status anomalies. Cancels: Petrify, Darkness, Confusion, Silence, Berserk, Frog, Poison, Sleep, Don't Move, Don't Act	200
Monk-6	Monk	Class	Chakra	A concentration of Ki restores both HP and MP to the caster and those surrounding him/her.	350
Monk-7	Monk	Class	Revive	Resurrects a dead character, restoring his/her HP slightly. Cancels: Dead	500
Monk-8	Monk	Movement	Move-HP Up	Allows the character to recover a small amount of HP as he or she moves around the battlefield.	300
